"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 03, 2018","13,034.32","12,997.73","13,099.38","12,988.09","-","0.28%"
"Jul 02, 2018","12,997.73","13,196.96","13,200.07","12,995.74","-","-1.51%"
"Jun 29, 2018","13,196.96","13,032.03","13,238.05","13,032.03","-","1.27%"
"Jun 28, 2018","13,032.03","13,178.31","13,196.90","12,948.06","-","-1.11%"
"Jun 27, 2018","13,178.31","12,957.57","13,218.85","12,902.01","-","1.70%"
"Jun 26, 2018","12,957.57","12,980.01","13,086.69","12,956.59","-","-0.17%"
"Jun 25, 2018","12,980.01","13,256.95","13,256.95","12,967.94","-","-2.09%"
"Jun 22, 2018","13,256.95","13,037.11","13,278.57","12,998.83","-","1.69%"
"Jun 21, 2018","13,037.11","13,310.52","13,329.56","13,009.73","-","-2.05%"
"Jun 20, 2018","13,310.52","13,264.19","13,479.49","13,264.19","-","0.35%"
"Jun 19, 2018","13,264.19","13,431.98","13,431.98","13,209.54","-","-1.25%"
"Jun 18, 2018","13,431.98","13,430.69","13,444.60","13,315.14","-","0.01%"
"Jun 15, 2018","13,430.69","13,556.98","13,595.11","13,399.08","-","-0.93%"
"Jun 14, 2018","13,556.98","13,568.18","13,593.40","13,416.22","-","-0.08%"
"Jun 13, 2018","13,568.18","13,528.79","13,629.05","13,494.79","-","0.29%"
"Jun 12, 2018","13,528.79","13,689.90","13,781.70","13,503.51","-","-1.18%"
"Jun 11, 2018","13,689.90","13,652.64","13,783.05","13,641.52","-","0.27%"
"Jun 08, 2018","13,652.64","13,693.46","13,716.93","13,557.39","-","-0.30%"
"Jun 07, 2018","13,693.46","13,632.34","13,747.60","13,619.38","-","0.45%"
"Jun 06, 2018","13,632.34","13,569.90","13,690.76","13,569.46","-","0.46%"
"Jun 05, 2018","13,569.90","13,490.07","13,614.67","13,468.37","-","0.59%"
"Jun 04, 2018","13,490.07","13,612.64","13,684.73","13,475.23","-","-0.90%"
"Jun 01, 2018","13,612.64","13,443.34","13,655.17","13,443.34","-","1.26%"
"May 31, 2018","13,443.34","13,351.22","13,531.61","13,345.00","-","0.69%"
"May 30, 2018","13,351.22","13,255.09","13,411.25","13,248.43","-","0.73%"
"May 29, 2018","13,255.09","13,429.37","13,429.37","13,194.98","-","-1.30%"
"May 25, 2018","13,429.37","13,454.68","13,562.63","13,405.10","-","-0.19%"
"May 24, 2018","13,454.68","13,587.49","13,665.98","13,431.17","-","-0.98%"
"May 23, 2018","13,587.49","13,790.57","13,790.57","13,545.42","-","-1.47%"
"May 22, 2018","13,790.57","13,728.24","13,838.28","13,712.83","-","0.45%"
"May 21, 2018","13,728.24","13,648.76","13,732.04","13,608.14","-","0.58%"
"May 18, 2018","13,648.76","13,613.53","13,660.63","13,516.54","-","0.26%"
"May 17, 2018","13,613.53","13,545.96","13,628.63","13,434.48","-","0.50%"
"May 16, 2018","13,545.96","13,445.42","13,580.42","13,422.34","-","0.75%"
"May 15, 2018","13,445.42","13,353.35","13,553.09","13,293.72","-","0.69%"
"May 14, 2018","13,353.35","13,377.87","13,449.89","13,333.84","-","-0.18%"
"May 11, 2018","13,377.87","13,400.96","13,441.99","13,329.66","-","-0.17%"
"May 10, 2018","13,400.96","13,271.07","13,400.96","13,271.07","-","0.98%"
"May 09, 2018","13,271.07","13,123.13","13,275.81","13,123.13","-","1.13%"
"May 08, 2018","13,123.13","12,912.83","13,152.26","12,912.83","-","1.63%"
"May 04, 2018","12,912.83","12,791.79","12,928.79","12,791.79","-","0.95%"
"May 03, 2018","12,791.79","12,988.37","12,999.91","12,731.39","-","-1.51%"
"May 02, 2018","12,988.37","12,789.86","13,022.14","12,789.86","-","1.55%"
"May 01, 2018","12,789.86","12,735.69","12,835.56","12,719.16","-","0.43%"
"Apr 30, 2018","12,735.69","12,753.68","12,833.87","12,713.32","-","-0.14%"
"Apr 27, 2018","12,753.68","12,743.26","12,849.28","12,713.75","-","0.08%"
"Apr 26, 2018","12,743.26","12,711.97","12,769.95","12,633.28","-","0.25%"
"Apr 25, 2018","12,711.97","12,852.97","12,852.97","12,625.29","-","-1.10%"
"Apr 24, 2018","12,852.97","12,996.82","13,061.06","12,852.97","-","-1.11%"
"Apr 23, 2018","12,996.82","12,644.56","13,033.64","12,644.56","-","2.79%"
"Apr 20, 2018","12,644.56","12,714.43","12,774.20","12,607.58","-","-0.55%"
"Apr 19, 2018","12,714.43","12,463.68","12,725.20","12,458.23","-","2.01%"
"Apr 18, 2018","12,463.68","12,335.72","12,469.96","12,335.72","-","1.04%"
"Apr 17, 2018","12,335.72","12,246.53","12,353.02","12,224.38","-","0.73%"
"Apr 16, 2018","12,246.53","12,285.01","12,317.52","12,242.81","-","-0.31%"
"Apr 13, 2018","12,285.01","12,227.38","12,356.17","12,210.45","-","0.47%"
"Apr 12, 2018","12,227.38","12,119.20","12,249.55","12,091.63","-","0.89%"
"Apr 11, 2018","12,119.20","12,132.09","12,205.68","12,072.61","-","-0.11%"
"Apr 10, 2018","12,132.09","11,880.07","12,134.09","11,880.07","-","2.12%"
"Apr 09, 2018","11,880.07","11,968.20","12,043.96","11,814.46","-","-0.74%"
"Apr 06, 2018","11,968.20","12,130.65","12,130.65","11,945.48","-","-1.34%"
"Apr 05, 2018","12,130.65","11,880.64","12,136.22","11,866.10","-","2.10%"
"Apr 04, 2018","11,880.64","12,103.88","12,125.46","11,834.46","-","-1.84%"
"Apr 03, 2018","12,103.88","12,246.66","12,246.66","12,011.92","-","-1.17%"
"Mar 29, 2018","12,246.66","12,135.39","12,320.60","12,135.39","-","0.92%"
"Mar 28, 2018","12,135.39","12,150.00","12,151.70","11,936.50","-","-0.12%"
"Mar 27, 2018","12,150.00","12,010.44","12,245.84","12,009.82","-","1.16%"
"Mar 26, 2018","12,010.44","12,133.32","12,161.35","11,967.78","-","-1.01%"
"Mar 23, 2018","12,133.32","12,208.95","12,215.57","11,988.02","-","-0.62%"
"Mar 22, 2018","12,208.95","12,344.43","12,344.43","12,154.23","-","-1.10%"
"Mar 21, 2018","12,344.43","12,353.62","12,372.28","12,234.80","-","-0.07%"
"Mar 20, 2018","12,353.62","12,117.08","12,386.55","12,112.88","-","1.95%"
"Mar 19, 2018","12,117.08","12,243.81","12,272.98","12,109.17","-","-1.04%"
"Mar 16, 2018","12,243.81","12,283.02","12,340.61","12,158.99","-","-0.32%"
"Mar 15, 2018","12,283.02","12,030.52","12,320.50","12,030.52","-","2.10%"
"Mar 14, 2018","12,030.52","12,039.66","12,132.18","12,010.85","-","-0.08%"
"Mar 13, 2018","12,039.66","12,171.63","12,185.97","12,012.30","-","-1.08%"
"Mar 12, 2018","12,171.63","12,254.61","12,283.39","12,123.37","-","-0.68%"
"Mar 09, 2018","12,254.61","12,137.74","12,254.61","12,111.80","-","0.96%"
"Mar 08, 2018","12,137.74","11,904.71","12,172.02","11,836.31","-","1.96%"
"Mar 07, 2018","11,904.71","11,860.15","11,915.45","11,725.52","-","0.38%"
"Mar 06, 2018","11,860.15","11,892.67","12,062.23","11,786.80","-","-0.27%"
"Mar 05, 2018","11,892.67","11,857.65","11,968.51","11,826.93","-","0.30%"
"Mar 02, 2018","11,857.65","12,287.12","12,287.12","11,846.95","-","-3.50%"
"Mar 01, 2018","12,287.12","12,416.04","12,416.04","12,214.91","-","-1.04%"
"Feb 28, 2018","12,416.04","12,438.08","12,497.50","12,348.87","-","-0.18%"
"Feb 27, 2018","12,438.08","12,386.82","12,583.95","12,386.82","-","0.41%"
"Feb 26, 2018","12,386.82","12,385.80","12,490.16","12,332.58","-","0.01%"
"Feb 23, 2018","12,385.80","12,361.67","12,396.61","12,290.36","-","0.20%"
"Feb 22, 2018","12,361.67","12,380.07","12,416.06","12,244.31","-","-0.15%"
"Feb 21, 2018","12,380.07","12,370.74","12,383.96","12,218.05","-","0.08%"
"Feb 20, 2018","12,370.74","12,225.44","12,370.74","12,225.44","-","1.19%"
"Feb 19, 2018","12,225.44","12,374.44","12,418.11","12,191.40","-","-1.20%"
"Feb 16, 2018","12,374.44","12,349.92","12,437.97","12,338.27","-","0.20%"
"Feb 15, 2018","12,349.92","12,122.65","12,417.31","12,122.65","-","1.87%"
"Feb 14, 2018","12,122.65","12,067.72","12,192.53","11,931.61","-","0.46%"
"Feb 13, 2018","12,067.72","12,139.49","12,213.68","12,055.23","-","-0.59%"
"Feb 12, 2018","12,139.49","11,929.21","12,169.75","11,929.21","-","1.76%"
"Feb 09, 2018","11,929.21","12,108.99","12,108.99","11,866.92","-","-1.48%"
"Feb 08, 2018","12,108.99","12,486.38","12,486.38","12,104.15","-","-3.02%"
"Feb 07, 2018","12,486.38","12,156.61","12,529.06","12,156.61","-","2.71%"
"Feb 06, 2018","12,156.61","12,416.39","12,416.39","11,984.09","-","-2.09%"
"Feb 05, 2018","12,416.39","12,638.54","12,638.54","12,325.30","-","-1.76%"
"Feb 02, 2018","12,638.54","12,886.90","12,922.57","12,636.18","-","-1.93%"
"Feb 01, 2018","12,886.90","12,887.63","12,983.81","12,821.43","-","-0.01%"
"Jan 31, 2018","12,887.63","12,965.42","13,055.69","12,815.69","-","-0.60%"
"Jan 30, 2018","12,965.42","13,024.77","13,099.14","12,936.16","-","-0.46%"
"Jan 29, 2018","13,024.77","13,039.07","13,141.63","13,024.77","-","-0.11%"
"Jan 26, 2018","13,039.07","12,896.25","13,072.83","12,888.85","-","1.11%"
"Jan 25, 2018","12,896.25","12,900.95","13,007.50","12,832.18","-","-0.04%"
"Jan 24, 2018","12,900.95","13,005.23","13,044.22","12,888.00","-","-0.80%"
"Jan 23, 2018","13,005.23","12,948.05","13,045.75","12,944.69","-","0.44%"
"Jan 22, 2018","12,948.05","13,067.28","13,076.76","12,926.18","-","-0.91%"
"Jan 19, 2018","13,067.28","13,080.67","13,099.81","13,046.18","-","-0.10%"
"Jan 18, 2018","13,080.67","13,145.19","13,183.82","13,018.02","-","-0.49%"
"Jan 17, 2018","13,145.19","13,212.66","13,215.13","13,107.11","-","-0.51%"
"Jan 16, 2018","13,212.66","13,169.93","13,241.15","13,163.02","-","0.32%"
"Jan 15, 2018","13,169.93","13,174.28","13,288.41","13,129.97","-","-0.03%"
