"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2019","13,092.44","13,114.31","13,128.53","12,979.46","-","-0.17%"
"Apr 17, 2019","13,114.31","13,174.89","13,217.85","13,091.39","-","-0.46%"
"Apr 16, 2019","13,174.89","13,041.26","13,182.64","13,039.54","-","1.02%"
"Apr 15, 2019","13,041.26","12,988.07","13,041.26","12,875.16","-","0.41%"
"Apr 12, 2019","12,988.07","12,852.19","13,090.91","12,823.48","-","1.06%"
"Apr 11, 2019","12,852.19","12,681.18","12,852.19","12,635.93","-","1.35%"
"Apr 10, 2019","12,681.18","12,633.30","12,706.08","12,626.62","-","0.38%"
"Apr 09, 2019","12,633.30","12,632.66","12,658.58","12,580.61","-","0.01%"
"Apr 08, 2019","12,632.66","12,608.69","12,636.41","12,546.73","-","0.19%"
"Apr 05, 2019","12,608.69","12,465.20","12,634.12","12,427.70","-","1.15%"
"Apr 04, 2019","12,465.20","12,460.46","12,483.82","12,353.10","-","0.04%"
"Apr 03, 2019","12,460.46","12,304.25","12,484.47","12,292.84","-","1.27%"
"Apr 02, 2019","12,304.25","12,155.98","12,322.36","12,115.28","-","1.22%"
"Apr 01, 2019","12,155.98","11,860.58","12,175.08","11,860.58","-","2.49%"
"Mar 29, 2019","11,860.58","11,618.98","11,860.58","11,618.25","-","2.08%"
"Mar 28, 2019","11,618.98","11,583.75","11,671.57","11,542.18","-","0.30%"
"Mar 27, 2019","11,583.75","11,638.60","11,730.57","11,541.58","-","-0.47%"
"Mar 26, 2019","11,638.60","11,519.52","11,644.17","11,471.17","-","1.03%"
"Mar 25, 2019","11,519.52","11,820.76","11,820.76","11,494.64","-","-2.55%"
"Mar 22, 2019","11,820.76","12,203.85","12,280.87","11,796.66","-","-3.14%"
"Mar 21, 2019","12,203.85","12,196.90","12,243.70","12,105.03","-","0.06%"
"Mar 20, 2019","12,196.90","12,207.86","12,244.91","12,164.76","-","-0.09%"
"Mar 19, 2019","12,207.86","12,035.13","12,221.16","12,018.71","-","1.44%"
"Mar 18, 2019","12,035.13","12,146.95","12,210.57","11,957.57","-","-0.92%"
"Mar 15, 2019","12,146.95","12,037.79","12,194.56","12,037.79","-","0.91%"
"Mar 14, 2019","12,037.79","11,962.47","12,079.33","11,929.89","-","0.63%"
"Mar 13, 2019","11,962.47","11,897.01","11,973.13","11,831.08","-","0.55%"
"Mar 12, 2019","11,897.01","11,863.58","11,934.78","11,831.53","-","0.28%"
"Mar 11, 2019","11,863.58","11,694.43","11,863.58","11,665.45","-","1.45%"
"Mar 08, 2019","11,694.43","11,812.14","11,849.59","11,654.78","-","-1.00%"
"Mar 07, 2019","11,812.14","11,896.52","11,896.52","11,708.85","-","-0.71%"
"Mar 06, 2019","11,896.52","11,832.73","11,896.52","11,768.75","-","0.54%"
"Mar 05, 2019","11,832.73","11,719.98","11,845.67","11,651.95","-","0.96%"
"Mar 04, 2019","11,719.98","11,728.71","11,825.45","11,649.54","-","-0.07%"
"Mar 01, 2019","11,728.71","11,610.91","11,841.79","11,610.91","-","1.01%"
"Feb 28, 2019","11,610.91","11,614.05","11,632.38","11,487.66","-","-0.03%"
"Feb 27, 2019","11,614.05","11,661.01","11,731.89","11,562.40","-","-0.40%"
"Feb 26, 2019","11,661.01","11,718.45","11,722.68","11,601.24","-","-0.49%"
"Feb 25, 2019","11,718.45","11,668.26","11,754.70","11,652.88","-","0.43%"
"Feb 22, 2019","11,668.26","11,695.17","11,799.67","11,604.88","-","-0.23%"
"Feb 21, 2019","11,695.17","11,657.82","11,713.60","11,601.25","-","0.32%"
"Feb 20, 2019","11,657.82","11,506.94","11,657.82","11,504.02","-","1.31%"
"Feb 19, 2019","11,506.94","11,641.04","11,648.13","11,463.99","-","-1.15%"
"Feb 18, 2019","11,641.04","11,544.01","11,648.22","11,484.85","-","0.84%"
"Feb 15, 2019","11,544.01","11,469.46","11,596.87","11,399.00","-","0.65%"
"Feb 14, 2019","11,469.46","11,414.45","11,501.47","11,309.01","-","0.48%"
"Feb 13, 2019","11,414.45","11,251.08","11,502.61","11,223.95","-","1.45%"
"Feb 12, 2019","11,251.08","11,185.07","11,274.53","11,174.63","-","0.59%"
"Feb 11, 2019","11,185.07","11,056.50","11,185.07","11,056.50","-","1.16%"
"Feb 08, 2019","11,056.50","11,265.21","11,272.36","11,056.50","-","-1.85%"
"Feb 07, 2019","11,265.21","11,531.37","11,531.37","11,265.21","-","-2.31%"
"Feb 06, 2019","11,531.37","11,536.62","11,611.92","11,431.35","-","-0.05%"
"Feb 05, 2019","11,536.62","11,362.88","11,536.62","11,336.06","-","1.53%"
"Feb 04, 2019","11,362.88","11,273.78","11,370.83","11,256.90","-","0.79%"
"Feb 01, 2019","11,273.78","11,151.44","11,348.50","11,114.36","-","1.10%"
"Jan 31, 2019","11,151.44","11,224.36","11,348.48","11,120.68","-","-0.65%"
"Jan 30, 2019","11,224.36","11,136.58","11,224.36","11,090.05","-","0.79%"
"Jan 29, 2019","11,136.58","11,004.56","11,158.73","10,937.35","-","1.20%"
"Jan 28, 2019","11,004.56","10,986.11","11,059.81","10,899.10","-","0.17%"
"Jan 25, 2019","10,986.11","10,887.97","11,012.06","10,886.87","-","0.90%"
"Jan 24, 2019","10,887.97","10,881.30","10,941.74","10,824.07","-","0.06%"
"Jan 23, 2019","10,881.30","11,117.10","11,117.10","10,842.33","-","-2.12%"
"Jan 22, 2019","11,117.10","11,219.54","11,219.54","11,026.52","-","-0.91%"
"Jan 21, 2019","11,219.54","11,018.45","11,232.02","11,000.62","-","1.83%"
"Jan 18, 2019","11,018.45","10,887.13","11,030.47","10,806.76","-","1.21%"
"Jan 17, 2019","10,887.13","10,874.47","10,895.23","10,737.63","-","0.12%"
"Jan 16, 2019","10,874.47","10,880.24","10,907.60","10,748.44","-","-0.05%"
"Jan 15, 2019","10,880.24","10,871.40","10,957.97","10,814.51","-","0.08%"
"Jan 14, 2019","10,871.40","11,015.14","11,015.14","10,851.09","-","-1.30%"
"Jan 11, 2019","11,015.14","11,098.67","11,174.42","10,955.19","-","-0.75%"
"Jan 10, 2019","11,098.67","11,096.77","11,119.43","10,943.26","-","0.02%"
"Jan 09, 2019","11,096.77","10,903.02","11,153.09","10,898.77","-","1.78%"
"Jan 08, 2019","10,903.02","10,633.43","10,970.36","10,633.43","-","2.54%"
"Jan 07, 2019","10,633.43","10,446.92","10,644.51","10,430.45","-","1.79%"
"Jan 04, 2019","10,446.92","10,064.30","10,470.86","10,064.30","-","3.80%"
"Jan 03, 2019","10,064.30","10,469.15","10,471.40","10,063.12","-","-3.87%"
"Jan 02, 2019","10,469.15","10,494.31","10,494.31","10,260.03","-","-0.24%"
"Dec 31, 2018","10,494.31","10,444.44","10,563.25","10,444.44","-","0.48%"
"Dec 28, 2018","10,444.44","10,192.70","10,478.55","10,192.70","-","2.47%"
"Dec 27, 2018","10,192.70","10,285.16","10,490.14","10,149.10","-","-0.90%"
"Dec 24, 2018","10,285.16","10,144.04","10,390.33","10,029.22","-","1.39%"
"Dec 21, 2018","10,144.04","10,140.45","10,260.79","10,070.32","-","0.04%"
"Dec 20, 2018","10,140.45","10,314.40","10,314.40","10,017.49","-","-1.69%"
"Dec 19, 2018","10,314.40","10,307.76","10,339.94","10,150.93","-","0.06%"
"Dec 18, 2018","10,307.76","10,140.66","10,376.74","10,037.13","-","1.65%"
"Dec 17, 2018","10,140.66","10,328.31","10,336.53","10,085.60","-","-1.82%"
"Dec 14, 2018","10,328.31","10,572.46","10,572.46","10,328.31","-","-2.31%"
"Dec 13, 2018","10,572.46","10,618.46","10,672.10","10,548.72","-","-0.43%"
"Dec 12, 2018","10,618.46","10,351.36","10,618.46","10,314.63","-","2.58%"
"Dec 11, 2018","10,351.36","10,135.79","10,454.29","10,135.79","-","2.13%"
"Dec 10, 2018","10,135.79","10,368.39","10,368.39","10,132.62","-","-2.24%"
"Dec 07, 2018","10,368.39","10,254.63","10,590.34","10,234.80","-","1.11%"
"Dec 06, 2018","10,254.63","10,693.45","10,693.45","10,131.49","-","-4.10%"
"Dec 05, 2018","10,693.45","10,958.89","10,958.89","10,668.55","-","-2.42%"
"Dec 04, 2018","10,958.89","11,126.95","11,160.01","10,937.97","-","-1.51%"
"Dec 03, 2018","11,126.95","10,831.94","11,256.75","10,831.94","-","2.72%"
"Nov 30, 2018","10,831.94","10,846.42","10,884.00","10,755.01","-","-0.13%"
"Nov 29, 2018","10,846.42","10,643.31","10,938.73","10,623.68","-","1.91%"
"Nov 28, 2018","10,643.31","10,701.91","10,736.86","10,588.44","-","-0.55%"
"Nov 27, 2018","10,701.91","10,735.29","10,750.78","10,652.54","-","-0.31%"
"Nov 26, 2018","10,735.29","10,574.49","10,790.10","10,574.49","-","1.52%"
"Nov 23, 2018","10,574.49","10,702.29","10,804.12","10,548.56","-","-1.19%"
"Nov 22, 2018","10,702.29","10,919.65","10,924.84","10,573.54","-","-1.99%"
"Nov 21, 2018","10,919.65","10,836.53","10,945.58","10,751.26","-","0.77%"
"Nov 20, 2018","10,836.53","11,053.32","11,053.32","10,667.49","-","-1.96%"
"Nov 19, 2018","11,053.32","11,188.66","11,277.84","11,003.89","-","-1.21%"
"Nov 16, 2018","11,188.66","11,358.13","11,450.98","11,188.66","-","-1.49%"
"Nov 15, 2018","11,358.13","11,231.34","11,443.30","11,212.00","-","1.13%"
"Nov 14, 2018","11,231.34","11,367.26","11,367.26","11,093.70","-","-1.20%"
"Nov 13, 2018","11,367.26","11,173.43","11,399.24","11,143.98","-","1.73%"
"Nov 12, 2018","11,173.43","11,300.86","11,470.99","11,169.77","-","-1.13%"
"Nov 09, 2018","11,300.86","11,564.00","11,564.00","11,286.94","-","-2.28%"
"Nov 08, 2018","11,564.00","11,569.13","11,701.44","11,546.86","-","-0.04%"
"Nov 07, 2018","11,569.13","11,413.31","11,623.39","11,390.35","-","1.37%"
"Nov 06, 2018","11,413.31","11,240.60","11,551.93","11,217.61","-","1.54%"
"Nov 05, 2018","11,240.60","11,611.82","11,625.28","11,235.99","-","-3.20%"
"Nov 02, 2018","11,611.82","11,521.17","11,832.21","11,521.17","-","0.79%"
"Nov 01, 2018","11,521.17","11,431.47","11,673.65","11,265.94","-","0.78%"
"Oct 31, 2018","11,431.47","11,213.14","11,612.41","11,213.14","-","1.95%"
"Oct 30, 2018","11,213.14","11,193.61","11,274.22","11,010.73","-","0.17%"
"Oct 29, 2018","11,193.61","10,966.30","11,455.50","10,966.30","-","2.07%"
"Oct 26, 2018","10,966.30","10,893.46","11,025.16","10,665.75","-","0.67%"
"Oct 25, 2018","10,893.46","10,697.25","10,901.27","10,514.24","-","1.83%"
"Oct 24, 2018","10,697.25","10,681.80","10,876.59","10,565.90","-","0.14%"
"Oct 23, 2018","10,681.80","11,029.86","11,029.86","10,675.72","-","-3.16%"
"Oct 22, 2018","11,029.86","11,172.04","11,279.94","11,029.86","-","-1.27%"
"Oct 19, 2018","11,172.04","11,484.19","11,521.89","11,171.13","-","-2.72%"
"Oct 18, 2018","11,484.19","11,761.79","11,807.91","11,484.19","-","-2.36%"
"Oct 17, 2018","11,761.79","11,840.86","11,978.61","11,676.76","-","-0.67%"
"Oct 16, 2018","11,840.86","11,386.70","11,840.86","11,377.01","-","3.99%"
"Oct 15, 2018","11,386.70","11,535.95","11,535.95","11,283.52","-","-1.29%"
"Oct 12, 2018","11,535.95","11,372.71","11,665.09","11,372.71","-","1.44%"
"Oct 11, 2018","11,372.71","11,450.68","11,536.65","11,174.33","-","-0.68%"
"Oct 10, 2018","11,450.68","11,995.80","12,088.80","11,450.68","-","-4.54%"
"Oct 09, 2018","11,995.80","12,194.27","12,287.71","11,883.19","-","-1.63%"
"Oct 08, 2018","12,194.27","12,637.28","12,644.55","12,194.27","-","-3.51%"
"Oct 05, 2018","12,637.28","12,833.20","12,880.99","12,637.28","-","-1.53%"
"Oct 04, 2018","12,833.20","12,949.69","12,963.69","12,772.71","-","-0.90%"
"Oct 03, 2018","12,949.69","12,741.45","12,949.69","12,718.75","-","1.63%"
"Oct 02, 2018","12,741.45","12,911.83","12,911.83","12,688.98","-","-1.32%"
"Oct 01, 2018","12,911.83","12,772.55","12,955.75","12,732.74","-","1.09%"
"Sep 28, 2018","12,772.55","12,754.69","12,898.12","12,717.88","-","0.14%"
"Sep 27, 2018","12,754.69","12,814.45","12,836.09","12,740.80","-","-0.47%"
"Sep 26, 2018","12,814.45","12,747.75","12,814.45","12,657.45","-","0.52%"
"Sep 25, 2018","12,747.75","12,709.33","12,816.56","12,689.52","-","0.30%"
"Sep 24, 2018","12,709.33","12,888.55","12,888.55","12,703.63","-","-1.39%"
"Sep 21, 2018","12,888.55","12,890.06","12,938.76","12,841.14","-","-0.01%"
"Sep 20, 2018","12,890.06","12,733.06","12,895.00","12,733.06","-","1.23%"
"Sep 19, 2018","12,733.06","12,603.22","12,739.27","12,597.95","-","1.03%"
"Sep 18, 2018","12,603.22","12,583.26","12,648.39","12,518.82","-","0.16%"
"Sep 17, 2018","12,583.26","12,652.46","12,652.46","12,530.87","-","-0.55%"
"Sep 14, 2018","12,652.46","12,385.78","12,672.30","12,385.78","-","2.15%"
"Sep 13, 2018","12,385.78","12,429.34","12,512.46","12,383.80","-","-0.35%"
"Sep 12, 2018","12,429.34","12,364.82","12,452.67","12,332.02","-","0.52%"
"Sep 11, 2018","12,364.82","12,420.14","12,420.14","12,310.35","-","-0.45%"
"Sep 10, 2018","12,420.14","12,422.45","12,448.96","12,311.66","-","-0.02%"
"Sep 07, 2018","12,422.45","12,530.80","12,530.80","12,259.74","-","-0.86%"
"Sep 06, 2018","12,530.80","12,971.43","12,971.43","12,492.22","-","-3.40%"
"Sep 05, 2018","12,971.43","13,177.89","13,177.89","12,920.24","-","-1.57%"
"Sep 04, 2018","13,177.89","13,320.39","13,421.67","13,177.89","-","-1.07%"
"Sep 03, 2018","13,320.39","13,245.79","13,348.60","13,214.86","-","0.56%"
"Aug 31, 2018","13,245.79","13,327.55","13,338.28","13,245.79","-","-0.61%"
"Aug 30, 2018","13,327.55","13,376.71","13,376.71","13,254.48","-","-0.37%"
"Aug 29, 2018","13,376.71","13,427.85","13,439.65","13,320.12","-","-0.38%"
"Aug 28, 2018","13,427.85","13,288.10","13,466.87","13,288.10","-","1.05%"
"Aug 24, 2018","13,288.10","13,225.75","13,320.14","13,204.71","-","0.47%"
"Aug 23, 2018","13,225.75","13,198.80","13,255.70","13,127.18","-","0.20%"
"Aug 22, 2018","13,198.80","13,221.49","13,226.84","13,155.40","-","-0.17%"
"Aug 21, 2018","13,221.49","13,211.03","13,320.21","13,202.83","-","0.08%"
"Aug 20, 2018","13,211.03","13,068.86","13,237.33","13,005.53","-","1.09%"
"Aug 17, 2018","13,068.86","12,963.62","13,068.86","12,789.05","-","0.81%"
"Aug 16, 2018","12,963.62","12,985.50","13,121.45","12,885.10","-","-0.17%"
"Aug 15, 2018","12,985.50","13,212.52","13,259.90","12,947.86","-","-1.72%"
"Aug 14, 2018","13,212.52","13,229.35","13,343.48","13,207.91","-","-0.13%"
"Aug 13, 2018","13,229.35","13,373.39","13,435.08","13,214.49","-","-1.08%"
"Aug 10, 2018","13,373.39","13,479.58","13,479.58","13,297.56","-","-0.79%"
"Aug 09, 2018","13,479.58","13,214.25","13,490.71","13,155.20","-","2.01%"
"Aug 08, 2018","13,214.25","13,347.66","13,347.66","13,106.70","-","-1.00%"
"Aug 07, 2018","13,347.66","13,477.99","13,512.42","13,332.30","-","-0.97%"
"Aug 06, 2018","13,477.99","13,476.38","13,528.07","13,390.31","-","0.01%"
"Aug 03, 2018","13,476.38","13,438.91","13,564.87","13,378.18","-","0.28%"
"Aug 02, 2018","13,438.91","13,668.68","13,668.68","13,318.04","-","-1.68%"
"Aug 01, 2018","13,668.68","13,753.02","13,753.02","13,553.34","-","-0.61%"
"Jul 31, 2018","13,753.02","13,639.27","13,876.48","13,638.94","-","0.83%"
"Jul 30, 2018","13,639.27","13,536.96","13,643.51","13,490.90","-","0.76%"
"Jul 27, 2018","13,536.96","13,400.30","13,544.33","13,356.58","-","1.02%"
"Jul 26, 2018","13,400.30","13,289.39","13,515.37","13,280.86","-","0.83%"
"Jul 25, 2018","13,289.39","13,451.63","13,451.63","13,242.44","-","-1.21%"
"Jul 24, 2018","13,451.63","13,410.82","13,584.24","13,375.91","-","0.30%"
"Jul 23, 2018","13,410.82","13,448.85","13,477.53","13,346.96","-","-0.28%"
"Jul 20, 2018","13,448.85","13,484.73","13,525.57","13,295.18","-","-0.27%"
"Jul 19, 2018","13,484.73","13,573.61","13,609.59","13,451.02","-","-0.65%"
"Jul 18, 2018","13,573.61","13,393.80","13,582.49","13,381.48","-","1.34%"
"Jul 17, 2018","13,393.80","13,344.90","13,434.68","13,316.65","-","0.37%"
"Jul 16, 2018","13,344.90","13,388.66","13,461.72","13,316.34","-","-0.33%"
"Jul 13, 2018","13,388.66","13,207.33","13,425.95","13,207.33","-","1.37%"
"Jul 12, 2018","13,207.33","13,117.13","13,241.30","13,086.10","-","0.69%"
"Jul 11, 2018","13,117.13","13,291.81","13,291.81","13,020.71","-","-1.31%"
"Jul 10, 2018","13,291.81","13,086.52","13,298.54","13,071.28","-","1.57%"
"Jul 09, 2018","13,086.52","12,872.84","13,095.46","12,810.13","-","1.66%"
"Jul 06, 2018","12,872.84","12,892.04","13,010.76","12,793.20","-","-0.15%"
"Jul 05, 2018","12,892.04","12,829.72","12,997.69","12,820.45","-","0.49%"
"Jul 04, 2018","12,829.72","13,034.32","13,038.06","12,784.62","-","-1.57%"
